ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,family_id,parent_id,name_language,name_macro_family,name_micro_family,phylo,Language
anal1239,Anal,Eurasia,24.05,94.28,anal1239,NA,doreco-anal1239,sino1245,oldk1252,Anal,Sino-Tibetan,Northwestern Kuki-Chin,Northwestern Kuki-Chin,Anal
apah1238,Yali (Apahapsili),Papunesia,-4.08,139.46,apah1238,NA,doreco-apah1238,nucl1709,pass1247,Apahapsili,Nuclear Trans New Guinea,Pass Valley Yali,Pass Valley Yali,Yali (Apahapsili)
arap1274,Arapaho,North America,43.39,-108.81,arap1274,NA,doreco-arap1274,algi1248,arap1280,Arapaho,Algic,Arapaho-Gros Ventre-Besawunena,Arapaho-Gros Ventre-Besawunena,Arapaho
bain1259,Baïnounk Gubëeher,Africa,12.31,-16.06,bain1259,NA,doreco-bain1259,atla1278,bain1264,Bainounk-Gujaher,Atlantic-Congo,Bainounk,Bainounk,Baïnounk Gubëeher
beja1238,Beja,Africa,17.24,36.67,beja1238,NA,doreco-beja1238,afro1255,cush1243,Beja,Afro-Asiatic,Cushitic,Cushitic,Beja
bora1263,Bora,South America,-2,-72.26,bora1263,NA,doreco-bora1263,bora1262,bora1262,Bora,Boran,Boran,Boran,Bora
cabe1245,Cabécar,North America,9.67,-83.41,cabe1245,NA,doreco-cabe1245,chib1249,vice1244,Cabécar,Chibchan,Viceitic,Viceitic,Cabécar
cash1254,Cashinahua,South America,-9.72,-71.17,cash1254,NA,doreco-cash1254,pano1259,head1239,Cashinahua,Pano-Tacanan,Headwaters Pano,Headwaters Pano,Cashinahua
dolg1241,Dolgan,Eurasia,71.11,94.29,dolg1241,NA,doreco-dolg1241,turk1311,nort2688,Dolgan,Turkic,North Siberian Turkic,North Siberian Turkic,Dolgan
even1259,Evenki,Eurasia,61.97,94.69,even1259,NA,doreco-even1259,tung1282,west2427,Evenki,Tungusic,Northwestern Tungusic,Northwestern Tungusic,Evenki
goem1240,Goemai,Africa,8.74,9.72,goem1240,NA,doreco-goem1240,afro1255,anga1311,Goemai,Afro-Asiatic,Goemaic,Goemaic,Goemai
goro1270,Gorwaa,Africa,-4.24,35.8,goro1270,NA,doreco-goro1270,afro1255,iraq1240,Gorowa,Afro-Asiatic,Iraqwoid,Iraqwoid,Gorwaa
hoch1243,Hoocąk,North America,43.5,-88.5,hoch1243,NA,doreco-hoch1243,siou1252,winn1245,Ho-Chunk,Siouan,Winnebago-Chiwere,Winnebago-Chiwere,Hoocąk
jeha1242,Jahai,Eurasia,5.64,101.54,jeha1242,NA,doreco-jeha1242,aust1305,menr1235,Jehai,Austroasiatic,Menraq-Batek,Menraq-Batek,Jahai
jeju1234,Jejuan,Eurasia,33.38,126.56,jeju1234,NA,doreco-jeju1234,kore1284,kore1284,Jejueo,Koreanic,Koreanic,Koreanic,Jejuan
kaka1265,Kakabe,Africa,10.6,-11.44,kaka1265,NA,doreco-kaka1265,mand1469,nucl1445,Kakabe,Mande,Nuclear Mokole,Nuclear Mokole,Kakabe
kama1351,Kamas,Eurasia,55.07,94.83,kama1351,NA,doreco-kama1351,ural1272,kama1376,Kamas-Koibal,Uralic,Kamas-Selkup,Kamas-Selkup,Kamas
kark1256,Tabaq (Karko),Africa,12.05,29.21,kark1256,NA,doreco-kark1256,nubi1251,west2807,Karko,Nubian,Western Kordofan Nubian,Western Kordofan Nubian,Tabaq (Karko)
komn1238,Komnzo,Papunesia,-8.65,141.52,komn1238,NA,doreco-komn1238,more1255,wara1294,Kómnjo,Yam,Anta-Komnzo-Wára-Wérè-Kémä,Anta-Komnzo-Wára-Wérè-Kémä,Komnzo
